Feature,Coefficient,Std Error,P-value
expected_answer_length,0.22359535088366805,0.016247663797960065,4.332644507955764e-43
output_requires_multimedia_creation,0.6568381048396629,0.07797983793994884,3.6640516917563565e-17
has_comparative_phrase,0.275322807506993,0.034780508468554475,2.4525647035707553e-15
participant_id Var,2.4386973060432453,0.39926185678079973,1.0087803961330033e-09
novelty_seeking,-0.16513155091977516,0.029504852185632844,2.1839579492193168e-08
needs_health_data,-0.13678014041098072,0.028775877452001882,2.0013124691237825e-06
planning_horizon,0.0629026606193496,0.014648006834557437,1.752602120471423e-05
time_urgency_level,-0.05115453690985784,0.013413407747447164,0.0001369089200789742
device_context_implied,-0.04895334078328486,0.01601582902874733,0.0022389274016349175
time_window_length,0.039966430841560985,0.01590787332053788,0.011992398217663085
requires_aggregation,0.04175848314386795,0.023763254664677533,0.078871593550864
social_context_strength,0.007416426703571228,0.01372843816859622,0.589042818349486
